"shipname","captaina","yearam","fate","fate2","fate3","fate4","slamimp","vymrtrat"
"Pastora de Lima","Dias, Manoel José","1817","49","1","14","1","290","0.282178218"
"Tibério","Mata, José Maria da","1817","1","1","14","1","223"," "
"Paquete Real","Ferreira, José dos Santos","1817","1","1","14","1","350","0.135802469"
"Bom Caminho","Dias, Domingos Francisco","1817","49","1","14","1","342","0.102362205"
"Benigretta"," ","1817","1","1","14","1","516"," "
"Voador"," ","1817","1","1","14","1","515"," "
"Formiga","Viana, Isidoro Antônio","1817","49","1","14","1","204"," "
"Vigilante Africano","Amorim, José Gomes de","1817","1","1","14","1","374"," "
"Constante","Narciso, Antônio","1817","49","1","14","1","345","0.0625"
"Comerciante","Braga, Isidoro Martins","1817","1","1","14","1","478","0.006237006"
"Diligente"," ","1817","1","1","14","1","180"," "
"Bonfim","Coelho, João Batista","1817","1","1","14","1","502","0.215625"
"Triunfo"," ","1817","1","1","14","1","503"," "
"S Lourenço","Vilasboas, João da Silveira","1817","1","1","14","1","471"," "
"Paquete da Bahia","Almeida, Manoel Joaquim de","1817","1","1","14","1","478"," "
"Sociedade","Alves, João Luís","1817","1","1","14","1","393"," "
"Famoso Ateneu","Fogaça, Antônio Gomes","1817","1","1","14","1","545","0.09015025"
"Trajano","Silva, Joaquim Rodrigues da","1817","1","1","14","1","459","0.008639309"
"Maria","Silva, Joaquim Henriques da","1817","1","1","14","1","457","0.119460501"
"Bonfim","Batalha, Luís Antônio","1817","1","1","14","1","598","0.026058632"
"Esgueira","Domingues, Jerônimo","1817","1","1","14","1","521","0.141680395"
"Caçador","Santos, Félix José dos","1817","1","1","14","1","570","0.04040404"
"Flor do Rio","Teodoro, Teotônio José","1817","1","1","14","1","388","0.240704501"
"Pastora"," ","1817","1","1","14","1","114"," "
"Emília","Amorim, Domingos Fernandes de","1817","1","1","14","1","415","0.065315315"
"S Pedro do Sul","Siqueira, João Inácio de","1817","1","1","14","1","428","0.031674208"
"Diligente","Castro, Alexandre José de","1817","1","1","14","1","129","0.058394161"
"S João Americano","Teixeira, José de Souza","1817","1","1","14","1","524","0.122278057"
"Grão Penedo","Pina, Antônio de","1817","1","1","14","1","487","0.108058608"
"Mariana Dáfne","Oliveira, José Malaquias de","1817","1","1","14","1","307","0.043613707"
"Resolução","Gomes, Manoel José","1817","1","1","14","1","354","0.117206983"
"Serpente","Sá, Teodoro José de","1817","1","1","14","1","429","0.022779043"
"Lusitânia","Lopes, Francisco da Silva","1817","1","1","14","1","649","0.120596206"
"Reino do Brasil","Silva, José Leite da","1817","1","1","14","1","352","0.175644028"
"Maria Tomásia","Melo, Francisco Xavier Álvares de","1817","1","1","14","1","368","0.051546392"
"S José Diligente Vulcano","Ferreira, Francisco Pedro","1817","1","1","14","1","409","0.026190476"
"General Silveira","Souza, Manoel Pereira de","1817","1","1","14","1","436","0.128"
"NS do Livramento Telêmaco","Nunes, José Antônio","1817","1","1","14","1","481","0.11090573"
"Amália","Camizão, José Maria de Araújo","1817","1","1","14","1","776","0.045510455"
"Diligente","Caldas, Manoel José","1817","1","1","14","1","393","0.156652361"
"Tejo","Oliveira, Antônio Xavier de","1817","1","1","14","1","417","0.148979592"
"Flor do Mar","Alcântara, Marcelino José de","1817","1","1","14","1","456","0.155555556"
"Feliz Dias","Estrela, Francisco Luís da Cunha","1817","49","1","14","1","214","0.241134752"
"Leopoldina","Rubim, Teodoro de Souza","1817","1","1","14","1","441","0.098159509"
"S Rosa","Viana, Pedro José Correa","1817","1","1","14","1","439","0.05387931"
"Golfinho","Fonseca, Manoel Joaquim da","1817","1","1","14","1","399","0.161764706"
"Bonfim","Batalha, Luís Antônio","1817","1","1","14","1","574","0.049668874"
"Caçador","Fontes, João Joaquim de Souza","1817","1","1","14","1","557","0.062289562"
"Mercúrio","Martins, Francisco José","1817","1","1","14","1","489","0.014112903"
"Patrocínio","Sá, Joaquim Manoel de","1817","1","1","14","1","302","0.067901235"
"Voador","Pacheco, José dos Santos","1817","1","1","14","1","376","0.015706806"
"Pequena Aventura","Dias, Manoel José","1817","1","1","14","1","214","0.10460251"
"NS dos Remédios","Magalhães, Francisco José Pereira de","1817","1","1","14","1","215","0.061135371"
"Maria","Silva, Joaquim Henriques da","1817","1","1","14","1","500","0.056603774"
"Duque de Bragança","Souza, Luís Inácio de","1817","1","1","14","1","537","0.113861386"
"S Pedro do Sul","Siqueira, João Inácio de","1817","1","1","14","1","435","0.02247191"
"Triunfo do Brasil","Carrilho, João Rodrigues","1817","1","1","14","1","611","0.040816327"
"Protetor General","Silva, José dos Santos Almeida e","1817","1","1","14","1","468","0.420074349"
"Trajano","Silva, Joaquim Rodrigues da","1818","1","1","14","1","417","0.071269488"
"Feliz Americano","Azevedo, Agostinho de","1818","1","1","14","1","400","0.045346062"
